ID,Rural,Income,Race,Expenditure,Kids
1000001,0,73720,1,27542.0001,3
1000002,0,12000,1,7415.5,2
1000003,0,20000,1,8607.5001,0
1000004,0,130500,1,20430.25,0
1000005,0,99000,2,10095.1499,0
1000006,0,18240,1,9592.75,0
1000007,0,164433,1,28575,0
1000008,0,35000,1,11115.5001,1
1000009,0,24000,1,4331.5,0
1000010,0,95000,1,11225.0001,0
1000011,0,94439,2,33826.4999,0
1000012,0,68291,1,7624.9499,0
1000013,0,14424,1,6601,5
1000014,0,23580,2,7890.4999,1
1000015,0,56000,1,10070.25,0
1000016,0,11000,1,5340.5001,0
1000017,0,32772,1,6839,0
1000018,0,18234,1,4231,0
1000019,1,3252,1,8310.75,0
1000020,0,61089,1,12180.1499,0
1000021,0,208854,1,28479.7833,1
1000022,0,96000,1,16724.9999,2
1000023,0,145200,1,28593.4977,0
1000024,0,42000,1,10319.25,0
1000025,1,17210,1,4987,0
1000026,0,75002,1,12204.5001,0
1000027,0,12000,1,7363,0
1000028,0,42702,1,11714,0
1000029,0,62000,1,6007.75,0
1000030,0,75000,2,9439.5001,0
1000031,0,43325,1,9365.9001,0
1000032,1,74316,1,20252,0
1000033,0,80000,1,14554,2
1000034,0,33000,1,15291.2501,1
1000035,0,17876,1,5500,0
1000036,0,34580,1,7969.7499,2
1000037,1,38072,1,13026,0
1000038,0,150000,1,15791.5332,0
1000039,0,168626,1,38758.0001,2
1000040,0,9000,1,5891.85,3
1000041,0,73000,2,6866.2501,0
1000042,0,56426,1,5653.2501,0
1000043,0,18576,1,5014,0
1000044,1,22626,1,11407,0
1000045,0,108540,1,13178.2,0
1000046,0,100000,1,13979.7999,0
1000047,0,32476,1,6424.7501,3
1000048,1,31000,1,6223.0001,1
1000049,0,388086,1,33572.6838,0
1000050,0,32684,1,14385,0
1000051,0,262500,1,20233.4999,0
1000052,0,70000,2,14260.75,1
1000053,0,129097,1,13539.5,0
1000054,0,210000,4,14354.25,0
1000055,0,19470,1,3205.5,0
1000056,0,27780,1,5276,0
1000057,0,578933,1,86510.5332,2
1000058,0,6000,1,3756.75,0
1000059,0,14948,1,6218.9501,1
1000060,0,52000,1,23598.7833,2
1000061,0,15984,1,9678,0
1000062,0,109475,1,17549.4999,0
1000063,1,16304,1,8270.75,2
1000064,0,13840,1,12723,0
1000065,0,43000,1,13889.7,0
1000066,0,52000,1,8712.2999,1
1000067,0,86927,1,14930.5,1
1000068,0,373284,1,36450.7832,2
1000069,1,40445,2,7304.9501,0
1000070,0,32983,1,3548.75,0
1000071,0,58326,2,7183,0
1000072,0,210906,1,20052.4834,0
1000073,0,12414,6,2091,0
1000074,0,184233,1,20361.25,0
1000075,0,12500,1,3376.0001,0
1000076,0,156800,1,43184.5001,3
1000077,0,12000,1,65605.8499,2
1000078,0,129860,1,14752.25,0
1000079,0,312829,4,218447.9665,1
