country,fatality,age
PT,0,60-69
PT,0,60-69
PT,0,80+
PT,0,60-69
PT,0,50-59
PT,0,60-69
PT,0,40-49
PT,0,20-29
PT,0,60-69
PT,0,20-29
PT,0,30-39
PT,0,70-79
PT,0,70-79
PT,0,80+
PT,0,70-79
PT,0,40-49
PT,0,50-59
PT,0,50-59
PT,0,80+
PT,0,30-39
PT,0,60-69
PT,1,80+
PT,0,20-29
PT,0,50-59
PT,0,60-69
PT,0,50-59
PT,0,80+
PT,0,30-39
PT,0,30-39
PT,0,30-39
PT,1,70-79
PT,1,80+
PT,0,50-59
PT,0,30-39
PT,0,30-39
PT,0,70-79
PT,0,40-49
PT,0,30-39
PT,0,10-19
PT,0,20-29
PT,0,40-49
PT,0,50-59
PT,0,60-69
PT,0,70-79
PT,0,50-59
PT,1,60-69
PT,0,80+
PT,0,40-49
PT,0,40-49
PT,0,80+
PT,0,40-49
PT,0,40-49
PT,0,70-79
PT,0,40-49
PT,0,40-49
PT,0,0-9
PT,0,20-29
PT,0,20-29
PT,0,40-49
PT,0,10-19
PT,0,50-59
PT,0,60-69
PT,0,50-59
PT,1,80+
PT,0,80+
PT,0,60-69
PT,0,30-39
PT,0,10-19
PT,0,40-49
PT,0,70-79
PT,0,50-59
PT,0,40-49
PT,0,70-79
PT,0,60-69
PT,0,70-79
PT,0,30-39
PT,0,40-49
PT,0,80+
PT,0,60-69
PT,0,40-49
PT,0,30-39
PT,0,50-59
PT,0,30-39
PT,0,50-59
PT,0,80+
PT,0,40-49
PT,0,50-59
PT,0,0-9
PT,0,60-69
PT,0,30-39
PT,0,20-29
PT,0,40-49
PT,0,40-49
PT,0,30-39
PT,0,50-59
PT,0,30-39
PT,0,20-29
PT,0,30-39
PT,0,80+
PT,0,80+
PT,0,60-69
PT,0,20-29
PT,0,0-9
PT,0,20-29
PT,0,0-9
PT,0,70-79
PT,0,40-49
PT,0,70-79
PT,0,30-39
PT,0,50-59
PT,0,80+
PT,0,80+
PT,0,30-39
PT,0,80+
PT,0,30-39
PT,0,50-59
PT,0,80+
PT,0,50-59
PT,0,70-79
PT,0,70-79
PT,0,50-59
PT,0,20-29
PT,0,20-29
PT,0,80+
PT,1,60-69
PT,0,80+
PT,0,30-39
PT,0,50-59
PT,0,40-49
PT,0,80+
PT,0,60-69
PT,0,40-49
PT,0,80+
PT,0,60-69
PT,0,60-69
PT,0,20-29
PT,0,30-39
PT,0,50-59
PT,0,40-49
PT,0,30-39
PT,0,50-59
PT,0,60-69
PT,0,30-39
PT,0,30-39
PT,0,80+
PT,0,10-19
PT,0,50-59
PT,0,60-69
PT,0,40-49
PT,0,40-49
PT,0,30-39
PT,0,40-49
PT,0,50-59
PT,0,80+
PT,0,50-59
PT,0,50-59
PT,0,20-29
PT,0,40-49
PT,0,40-49
PT,0,80+
PT,0,70-79
PT,0,60-69
PT,0,50-59
PT,0,80+
PT,0,40-49
PT,0,30-39
PT,0,30-39
PT,0,50-59
PT,0,20-29
PT,0,60-69
PT,0,70-79
PT,0,20-29
PT,0,40-49
PT,0,30-39
PT,0,20-29
PT,0,30-39
PT,0,40-49
PT,0,50-59
PT,0,80+
PT,0,30-39
PT,0,30-39
PT,0,30-39
PT,0,0-9
PT,0,40-49
PT,0,50-59
PT,0,80+
PT,1,60-69
PT,0,40-49
PT,0,30-39
PT,0,50-59
PT,1,60-69
PT,0,30-39
PT,0,70-79
PT,0,40-49
PT,0,30-39
PT,0,30-39
PT,0,60-69
PT,0,70-79
PT,0,50-59
PT,0,40-49
PT,0,30-39
PT,0,20-29
PT,0,60-69
PT,0,20-29
PT,0,30-39
PT,0,50-59
PT,0,80+
PT,0,60-69
PT,0,30-39
PT,0,40-49
PT,0,20-29
PT,0,40-49
PT,0,70-79
PT,0,30-39
PT,0,30-39
PT,0,0-9
PT,0,20-29
PT,0,40-49
PT,0,40-49
PT,0,30-39
PT,0,40-49
PT,0,50-59
PT,0,50-59
PT,0,50-59
PT,0,40-49
PT,0,30-39
PT,0,80+
PT,0,20-29
PT,0,40-49
PT,0,60-69
PT,0,70-79
PT,1,80+
PT,0,60-69
PT,0,70-79
PT,0,50-59
PT,0,50-59
PT,0,80+
PT,0,80+
PT,0,60-69
PT,0,60-69
PT,0,50-59
PT,0,20-29
PT,0,60-69
PT,0,30-39
PT,0,50-59
PT,0,40-49
PT,0,40-49
PT,0,30-39
PT,0,70-79
PT,0,50-59
PT,0,50-59
PT,0,30-39
PT,0,70-79
PT,0,80+
PT,0,40-49
PT,0,30-39
PT,0,80+
PT,0,30-39
PT,0,0-9
PT,0,70-79
PT,0,50-59
PT,0,60-69
PT,0,50-59
PT,0,40-49
PT,0,50-59
PT,0,40-49
PT,0,20-29
PT,0,80+
PT,0,30-39
PT,0,40-49
PT,0,20-29
PT,0,50-59
PT,0,50-59
PT,0,80+
PT,1,80+
PT,0,80+
PT,0,80+
PT,0,40-49
PT,0,50-59
PT,0,30-39
PT,1,80+
PT,0,80+
PT,1,80+
PT,0,70-79
PT,0,70-79
PT,0,20-29
PT,0,80+
PT,0,70-79
PT,0,50-59
PT,0,80+
PT,0,60-69
PT,0,50-59
PT,0,80+
PT,0,70-79
PT,0,70-79
PT,0,20-29
PT,0,30-39
PT,0,50-59
PT,0,40-49
PT,0,20-29
PT,0,70-79
PT,0,70-79
PT,0,60-69
PT,0,40-49
PT,0,80+
PT,0,60-69
PT,0,20-29
PT,0,20-29
PT,0,40-49
PT,0,40-49
PT,0,80+
PT,0,30-39
PT,0,50-59
PT,0,80+
PT,0,80+
PT,0,30-39
PT,0,80+
PT,0,20-29
PT,0,40-49
PT,0,20-29
PT,0,80+
PT,0,30-39
PT,0,60-69
PT,0,60-69
PT,0,50-59
PT,0,40-49
PT,0,50-59
PT,0,40-49
PT,0,60-69
PT,0,20-29
PT,0,70-79
PT,0,80+
PT,0,30-39
PT,0,40-49
PT,0,50-59
PT,0,0-9
PT,0,20-29
PT,0,40-49
PT,0,40-49
PT,0,30-39
PT,0,50-59
PT,0,50-59
PT,0,80+
PT,0,30-39
PT,0,50-59
PT,0,50-59
PT,0,40-49
PT,0,20-29
PT,0,20-29
PT,0,0-9
PT,0,80+
PT,0,30-39
PT,0,50-59
PT,0,10-19
PT,0,50-59
PT,0,30-39
PT,0,60-69
PT,0,80+
PT,1,80+
PT,0,50-59
PT,0,20-29
PT,0,50-59
PT,0,20-29
PT,0,40-49
PT,0,60-69
PT,0,50-59
PT,0,50-59
PT,0,50-59
PT,0,0-9
PT,0,50-59
PT,1,80+
PT,0,50-59
PT,0,30-39
PT,0,30-39
PT,0,40-49
PT,0,60-69
PT,0,80+
PT,0,80+
PT,0,30-39
PT,0,50-59
PT,0,30-39
PT,0,80+
PT,0,20-29
PT,0,30-39
PT,0,30-39
PT,0,60-69
PT,0,20-29
PT,0,20-29
PT,0,20-29
PT,0,10-19
PT,0,20-29
PT,0,20-29
PT,0,40-49
PT,0,60-69
PT,0,20-29
PT,0,60-69
PT,0,10-19
PT,0,30-39
PT,0,20-29
PT,0,70-79
PT,0,20-29
PT,0,70-79
PT,0,20-29
PT,0,40-49
PT,0,70-79
PT,0,50-59
PT,1,70-79
PT,0,50-59
PT,0,60-69
PT,0,60-69
PT,0,40-49
PT,0,40-49
PT,0,20-29
PT,0,30-39
PT,0,40-49
PT,0,60-69
PT,0,60-69
PT,0,20-29
PT,0,40-49
PT,0,40-49
PT,1,80+
PT,0,20-29
PT,0,60-69
PT,0,20-29
PT,0,30-39
PT,0,30-39
PT,0,50-59
PT,0,80+
PT,0,70-79
PT,0,40-49
PT,0,40-49
PT,0,40-49
PT,0,50-59
PT,0,20-29
PT,0,30-39
PT,0,60-69
PT,0,60-69
PT,0,30-39
PT,0,50-59
PT,0,30-39
PT,0,30-39
PT,0,80+
PT,0,40-49
PT,0,70-79
PT,0,50-59
PT,0,50-59
PT,0,10-19
PT,0,50-59
PT,0,50-59
PT,0,40-49
PT,1,70-79
PT,0,10-19
PT,0,10-19
PT,0,50-59
PT,1,80+
PT,0,40-49
PT,1,60-69
PT,0,70-79
PT,0,20-29
PT,0,80+
PT,0,30-39
PT,0,40-49
PT,0,20-29
PT,0,30-39
PT,0,40-49
PT,0,50-59
PT,0,30-39
PT,0,30-39
PT,0,30-39
PT,0,30-39
PT,0,60-69
PT,0,20-29
PT,1,80+
PT,0,30-39
PT,0,40-49
PT,0,10-19
PT,0,80+
PT,0,20-29
PT,0,30-39
PT,0,50-59
PT,0,30-39
PT,0,50-59
PT,0,0-9
PT,0,60-69
PT,0,60-69
PT,0,60-69
PT,0,30-39
PT,0,60-69
PT,0,80+
PT,0,60-69
PT,0,40-49
PT,0,20-29
PT,0,30-39
PT,0,30-39
PT,0,10-19
PT,0,60-69
PT,0,80+
PT,0,70-79
PT,0,50-59
PT,0,80+
PT,0,20-29
PT,0,20-29
PT,0,80+
PT,0,80+
PT,0,40-49
PT,0,30-39
