City,State,Zip,Longitude,Latitude
Bentonville,AR,72712,-94.1994,36.3358
Bryant,AR,72022,-92.5006,34.6208
Conway,AR,72032,-92.4371,35.1116
El Dorado,AR,71730,-92.6403,33.1972
Fort Smith,AR,72903,-94.359,35.3543
Hot Springs,AR,71913,-93.0714,34.4522
Little Rock,AR,72116,-92.2208,34.795
Little Rock,AR,72201,-92.2759,34.7435
Little Rock,AR,72205,-92.3898,34.7641
Little Rock,AR,72205,-92.3982,34.7267
Little Rock,AR,72211,-92.3943,34.7526
North Little Rock,AR,72117,-92.2245,34.789
Russellville,AR,72802,-93.1352,35.3038
Searcy,AR,72143,-91.691,35.2514
Springdale,AR,72762,-94.1836,36.1739
Texarkana,AR,71854,-94.043,33.4729
Flagstaff,AZ,86001,-111.6636,35.1804
Mesa,AZ,85206,-111.6921,33.3858
Mesa,AZ,85210,-111.8521,33.3906
Peoria,AZ,85382,-112.2328,33.635
Phoenix,AZ,85009,-112.1124,33.4795
Phoenix,AZ,85018,-111.9794,33.48
Phoenix,AZ,85023,-112.1146,33.6257
Phoenix,AZ,85035,-112.1663,33.4658
Phoenix,AZ,85044,-111.9736,33.3069
Prescott,AZ,86301,-112.3844,34.5512
Scottsdale,AZ,85260,-111.8901,33.5834
Tempe,AZ,85281,-111.977,33.4203
Tucson,AZ,85706,-110.9341,32.1248
Tucson,AZ,85710,-110.8566,32.2209
Tucson,AZ,85711,-110.9092,32.2239
Tucson,AZ,85743,-111.0931,32.3588
Anaheim,CA,92802,-117.9099,33.8043
Bakersfield,CA,93308,-119.0424,35.3833
Bakersfield,CA,93308,-119.0763,35.4404
Berkeley,CA,94710,-122.2956,37.8684
Bishop,CA,93514,-118.396,37.3665
Carlsbad,CA,92011,-117.314,33.1063
Chula Vista,CA,91910,-117.062,32.6474
Costa Mesa,CA,92626,-117.9205,33.6914
Davis,CA,95618,-121.7312,38.5408
Dublin,CA,94568,-121.9079,37.7062
Fairfield,CA,94534,-122.1276,38.2195
Fowler,CA,93625,-119.6839,36.6279
Fremont,CA,94538,-121.9449,37.4889
Fresno,CA,93720,-119.7833,36.8395
Fresno,CA,93721,-119.7801,36.7405
Fresno,CA,93722,-119.8806,36.8099
Hayward,CA,94541,-122.1178,37.6645
Hesperia,CA,92345,-117.346,34.4689
Inglewood,CA,90303,-118.3433,33.9313
Irvine,CA,92618,-117.7596,33.6759
La Palma,CA,90623,-118.0314,33.8604
Livermore,CA,94551,-121.7006,37.7152
Los Angeles,CA,90045,-118.3727,33.9456
Millbrae,CA,94030,-122.4009,37.6103
Monterey,CA,93940,-121.8604,36.6058
Moreno Valley,CA,92553,-117.2598,33.9396
Oakland,CA,94621,-122.1933,37.7425
Oceanside,CA,92054,-117.3845,33.2028
Ontario,CA,91764,-117.5729,34.0715
Paso Robles,CA,93446,-120.6714,35.6452
Rancho Cordova,CA,95670,-121.2709,38.6051
Redding,CA,96002,-122.358,40.5759
