Number memorized,Grouping
2,meaningful
3,meaningful
6,meaningful
6,meaningful
6,meaningful
6,meaningful
9,meaningful
9,meaningful
9,meaningful
11,meaningful
11,meaningful
15,meaningful
15,meaningful
15,meaningful
15,meaningful
15,meaningful
17,meaningful
18,meaningful
18,meaningful
18,meaningful
18,meaningful
18,meaningful
21,meaningful
21,meaningful
21,meaningful
21,meaningful
21,meaningful
21,meaningful
24,meaningful
24,meaningful
24,meaningful
24,meaningful
26,meaningful
26,meaningful
27,meaningful
28,meaningful
30,meaningful
6,not meaningful
7,not meaningful
8,not meaningful
9,not meaningful
9,not meaningful
10,not meaningful
10,not meaningful
13,not meaningful
13,not meaningful
14,not meaningful
14,not meaningful
14,not meaningful
14,not meaningful
14,not meaningful
14,not meaningful
15,not meaningful
16,not meaningful
16,not meaningful
17,not meaningful
17,not meaningful
17,not meaningful
17,not meaningful
18,not meaningful
18,not meaningful
20,not meaningful
20,not meaningful
14,not meaningful
14,not meaningful
14,not meaningful
14,not meaningful
9,meaningful
10,not meaningful
14,not meaningful
3,meaningful
15,not meaningful
14,not meaningful
12,meaningful
5,not meaningful
14,not meaningful
30,meaningful
9,meaningful
14,not meaningful
9,meaningful
4,not meaningful
18,meaningful
12,meaningful
7,not meaningful
18,meaningful
8,meaningful
13,meaningful
24,meaningful
6,not meaningful
4,meaningful
27,meaningful
18,not meaningful
14,not meaningful
11,not meaningful
4,not meaningful
6,not meaningful
30,meaningful
