name,gender,age,class,embarked,country,ticketno,fare,survived,pclass,crew
"Abbing, Mr. Anthony",male,42,3rd,S,United States,5547,7.11,0,3,
"Abbott, Mr. Eugene Joseph",male,13,3rd,S,United States,2673,20.05,0,3,
"Abbott, Mr. Rossmore Edward",male,16,3rd,S,United States,2673,20.05,0,3,
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39,3rd,S,England,2673,20.05,1,3,
"Abelseth, Miss. Karen Marie",female,16,3rd,S,Norway,348125,7.13,1,3,
"Abelseth, Mr. Olaus Jørgensen",male,25,3rd,S,United States,348122,7.13,1,3,
"Abelson, Mr. Samuel",male,30,2nd,C,France,3381,24,0,2,
"Abelson, Mrs. Hannah",female,28,2nd,C,France,3381,24,1,2,
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27,3rd,C,Lebanon,2699,18.1509,1,3,
"Abrahamsson, Mr. Abraham August Johannes",male,20,3rd,S,Finland,3101284,7.1806,1,3,
"Ådahl, Mr. Mauritz",male,30,3rd,S,Sweden,7076,7.05,0,3,
"Adams, Mr. John",male,27,3rd,S,England,341826,8.01,0,3,
"Ahlin, Mrs. Johanna Persdotter",female,40,3rd,S,Sweden,7546,9.0906,0,3,
"Aks, Master. Frank Philip",male,0.833333333,3rd,S,England,392091,9.07,1,3,
"Aks, Mrs. Leah",female,18,3rd,S,England,392091,9.07,1,3,
"Aldworth, Mr. Augustus Henry",male,35,2nd,S,England,248744,13,0,2,
"Alexander, Mr. William Albert",male,25,3rd,S,England,3474,7.1709,0,3,
"Alhomäki, Mr. Ilmari Rudolf",male,19,3rd,S,Finland,3101287,7.1806,0,3,
"Ali, Mr. Ahmed",male,24,3rd,S,Argentina,3101311,7.01,0,3,
"Ali, Mr. William",male,25,3rd,S,Argentina,3101312,7.01,0,3,
"Allen, Miss. Elisabeth Walton",female,29,1st,S,United States,24160,211.6009,1,1,
"Allen, Mr. William Henry",male,39,3rd,S,England,373450,8.01,0,3,
"Allison, Master. Hudson Trevor",male,0.916666667,1st,S,Canada,113781,151.16,1,1,
"Allison, Miss. Helen Loraine",female,2,1st,S,Canada,113781,151.16,0,1,
"Allison, Mr. Hudson Joshua Creighton",male,30,1st,S,Canada,113781,151.16,0,1,
"Allison, Mrs. Bessie Waldo",female,25,1st,S,United States,113781,151.16,0,1,
"Allum, Mr. Owen George",male,18,3rd,S,England,2223,8.06,0,3,
"Al-Munà, Mr. Farīd Husayn Qāsim",male,19,3rd,C,Lebanon,2700,7.0407,0,3,
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3rd,S,Denmark,350046,7.1701,1,3,
"Andersen, Mr. Albert Karvin",male,33,3rd,S,Norway,4001,22.1006,0,3,
"Anderson, Mr. Harry",male,47,1st,S,United States,19952,26.11,1,1,
"Andersson, Master. Sigvard Harald Elias",male,4,3rd,S,Sweden,347082,31.0506,0,3,
"Andersson, Miss. Ebba Iris Alfrida",female,6,3rd,S,Sweden,347082,31.0506,0,3,
"Andersson, Miss. Ellis Anna Maria",female,2,3rd,S,Sweden,347082,31.0506,0,3,
"Andersson, Miss. Erna Alexandra",female,16,3rd,S,Finland,3101281,7.1806,1,3,
"Andersson, Miss. Ida Augusta Margareta",female,38,3rd,S,Sweden,347091,7.1506,0,3,
"Andersson, Miss. Ingeborg Constanzia",female,9,3rd,S,Sweden,347082,31.0506,0,3,
"Andersson, Miss. Sigrid Elisabeth",female,11,3rd,S,Sweden,347082,31.0506,0,3,
"Andersson, Mr. Anders Johan",male,39,3rd,S,Sweden,347082,31.0506,0,3,
"Andersson, Mr. Johan Samuel",male,26,3rd,S,Sweden,347075,7.1506,0,3,
"Andersson, Mrs. Alfrida Konstantia Brogren",female,39,3rd,S,Sweden,347082,31.0506,0,3,
"Andreasson, Mr. Pål Edvin",male,20,3rd,S,Sweden,347466,7.1701,0,3,
"Andrew, Mr. Edgar Samuel",male,17,2nd,S,Argentina,231945,11.1,0,2,
"Andrew, Mr. Frank Thomas",male,27,2nd,S,England,34050,10.1,0,2,
"Andrews, Miss. Kornelia Theodosia",female,62,1st,C,United States,13502,77.1902,1,1,
"Andrews, Mr. Thomas",male,39,1st,B,Northern Ireland,112050,,0,1,
"Angheloff, Mr. Minko",male,26,3rd,S,Bulgaria,349202,7.1711,0,3,
